Theodor-Heuss-Straße | from 21509749 → 265590631
Leonhardstraße | from 569700350 → 5115645897
Leonhardstraße | from 569700350 → 21777141
Ludwigsburger Straße | from 21777191 → 21776981
Mühlstraße | from 21777191 → 21756479
Mühlstraße | from 21777191 → 25104170
Cäcilienbrunnenstraße | from 21776970 → 427964646
Blücherstraße | from 21776970 → 26736038
Silcherstraße | from 21776970 → 21777853
Im Gemmingstal | from 21776970 → 21776990
Drosteweg | from 427964646 → 427964650
Cäcilienbrunnenstraße | from 427964646 → 21776970
Cäcilienbrunnenstraße | from 427964646 → 26773946
Blücherstraße | from 26736038 → 2276953315
Blücherstraße | from 26736038 → 21776970
Karl-Jäger-Straße | from 26736038 → 1172494705
Silcherstraße | from 21777853 → 1180986854
Silcherstraße | from 21777853 → 21776970
Gutenbergstraße | from 21777853 → 732715209
Im Gemmingstal | from 21776990 → 25232005
Im Gemmingstal | from 21776990 → 21776970
Schweinsbergstraße | from 21776990 → 1558997436
Teichstraße | from 21776981 → 25104129
Ludwigsburger Straße | from 21776981 → 24911576
Teichstraße | from 21776981 → 1550333286
Teichstraße | from 1550333286 → 21777141
Teichstraße | from 1550333286 → 21776981
Klingenberger Straße | from 1550333286 → 21756479
Im Gemmingstal | from 25232005 → 21777181
Im Gemmingstal | from 25232005 → 21776990
Rieslingstraße | from 25232005 → 1558997436
Schweinsbergstraße | from 1558997436 → 30904057
Schweinsbergstraße | from 1558997436 → 21776990
Rieslingstraße | from 1558997436 → 25232005
Rieslingstraße | from 1558997436 → 25231985
Pfühlstraße | from 21777036 → 1668903799
Pfühlstraße | from 21777036 → 1159360853
Schlizstraße | from 21777036 → 21778376
Pfühlstraße | from 1668903799 → 21777036
Hundsbergstraße | from 1668903799 → 1668903822
Robert-Mayer-Straße | from 1668903799 → 254506747
Pfühlstraße | from 1159360853 → 1159361209
Pfühlstraße | from 1159360853 → 1561447084
Pfühlstraße | from 1159360853 → 21777036
Katzensteige | from 21778376 → 525779986
Schlizstraße | from 21778376 → 437321030
Schlizstraße | from 21778376 → 1668903799
Reutlinger Straße | from 21777045 → 423024082
Einsteinstraße | from 21777045 → 30050068
Im Gemmingstal | from 21777045 → 21778317
